//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 8-8-2016
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1.0, 3.68     AFR:9.7, 18.2
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
987	21.81	218 	4.819
988	21.83	218 	4.824
989	21.84	218 	4.829
990	21.86	219 	4.834
991	21.88	219 	4.839
992	21.89	219 	4.844
993	21.91	219 	4.849
994	21.92	219 	4.854
995	21.94	219 	4.858
996	21.95	220 	4.863
997	21.97	220 	4.868
998	21.98	220 	4.873
999	22.00	220 	4.878
1000	22.01	220 	4.883
1001	22.03	220 	4.888
1002	22.05	220 	4.893
1003	22.06	221 	4.897
1004	22.08	221 	4.902
1005	22.09	221 	4.907
1006	22.11	221 	4.912
1007	22.12	221 	4.917
1008	22.14	221 	4.922
1009	22.15	222 	4.927
1010	22.17	222 	4.932
1011	22.19	222 	4.937
1012	22.20	222 	4.941
1013	22.22	222 	4.946
1014	22.23	222 	4.951
1015	22.25	222 	4.956
1016	22.26	223 	4.961
1017	22.28	223 	4.966
1018	22.29	223 	4.971
1019	22.31	223 	4.976
1020	22.32	223 	4.980
1021	22.34	223 	4.985
1022	22.36	224 	4.990
1023	22.37	224 	4.995
