//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 8-8-2016
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1.0, 3.68     AFR:9.7, 18.2
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
228	10.06	101 	1.113
229	10.07	101 	1.118
230	10.09	101 	1.123
231	10.11	101 	1.128
232	10.12	101 	1.133
233	10.14	101 	1.138
234	10.15	102 	1.143
235	10.17	102 	1.147
236	10.18	102 	1.152
237	10.20	102 	1.157
238	10.21	102 	1.162
239	10.23	102 	1.167
240	10.25	102 	1.172
241	10.26	103 	1.177
242	10.28	103 	1.182
243	10.29	103 	1.187
244	10.31	103 	1.191
245	10.32	103 	1.196
246	10.34	103 	1.201
247	10.35	104 	1.206
248	10.37	104 	1.211
249	10.38	104 	1.216
250	10.40	104 	1.221
251	10.42	104 	1.226
252	10.43	104 	1.230
253	10.45	104 	1.235
254	10.46	105 	1.240
255	10.48	105 	1.245
256	10.49	105 	1.250
257	10.51	105 	1.255
258	10.52	105 	1.260
259	10.54	105 	1.265
260	10.55	106 	1.270
261	10.57	106 	1.274
262	10.59	106 	1.279
263	10.60	106 	1.284
264	10.62	106 	1.289
265	10.63	106 	1.294
266	10.65	106 	1.299
267	10.66	107 	1.304
268	10.68	107 	1.309
269	10.69	107 	1.313
270	10.71	107 	1.318
271	10.73	107 	1.323
272	10.74	107 	1.328
273	10.76	108 	1.333
274	10.77	108 	1.338
275	10.79	108 	1.343
276	10.80	108 	1.348
277	10.82	108 	1.353
278	10.83	108 	1.357
279	10.85	108 	1.362
280	10.86	109 	1.367
281	10.88	109 	1.372
282	10.90	109 	1.377
283	10.91	109 	1.382
284	10.93	109 	1.387
285	10.94	109 	1.392
286	10.96	110 	1.396
287	10.97	110 	1.401
288	10.99	110 	1.406
289	11.00	110 	1.411
290	11.02	110 	1.416
291	11.03	110 	1.421
292	11.05	111 	1.426
293	11.07	111 	1.431
294	11.08	111 	1.436
295	11.10	111 	1.440
296	11.11	111 	1.445
297	11.13	111 	1.450
298	11.14	111 	1.455
299	11.16	112 	1.460
300	11.17	112 	1.465
301	11.19	112 	1.470
302	11.21	112 	1.475
303	11.22	112 	1.479
304	11.24	112 	1.484
305	11.25	113 	1.489
306	11.27	113 	1.494
307	11.28	113 	1.499
308	11.30	113 	1.504
309	11.31	113 	1.509
310	11.33	113 	1.514
311	11.34	113 	1.519
312	11.36	114 	1.523
313	11.38	114 	1.528
314	11.39	114 	1.533
315	11.41	114 	1.538
316	11.42	114 	1.543
317	11.44	114 	1.548
318	11.45	115 	1.553
319	11.47	115 	1.558
320	11.48	115 	1.563
321	11.50	115 	1.567
322	11.52	115 	1.572
323	11.53	115 	1.577
324	11.55	115 	1.582
325	11.56	116 	1.587
326	11.58	116 	1.592
327	11.59	116 	1.597
328	11.61	116 	1.602
329	11.62	116 	1.606
330	11.64	116 	1.611
331	11.65	117 	1.616
332	11.67	117 	1.621
333	11.69	117 	1.626
334	11.70	117 	1.631
335	11.72	117 	1.636
336	11.73	117 	1.641
337	11.75	117 	1.646
338	11.76	118 	1.650
339	11.78	118 	1.655
340	11.79	118 	1.660
341	11.81	118 	1.665
342	11.82	118 	1.670
343	11.84	118 	1.675
344	11.86	119 	1.680
345	11.87	119 	1.685
346	11.89	119 	1.689
347	11.90	119 	1.694
348	11.92	119 	1.699
349	11.93	119 	1.704
350	11.95	119 	1.709
351	11.96	120 	1.714
352	11.98	120 	1.719
353	12.00	120 	1.724
354	12.01	120 	1.729
355	12.03	120 	1.733
356	12.04	120 	1.738
